corp_code,stock_code,corp_name,listed_name,corp_eng_name,market,industry,sector_no,sector,listing_date,fiscal_month,market_cap,n_periodic,n_major,n_exchange,n_holding,note
01160363,247540,에코프로비엠,에코프로비엠,"ECOPRO BM CO.,LTD.",KOSDAQ,소재,4,2차전지,2019-03-05,12월,105950,15,9,3,79,
00155319,005490,POSCO홀딩스,POSCO홀딩스,POSCO Holdings Inc.,KOSPI,소재,5,철강,1988-06-10,12월,248026,14,2,0,4,
00145880,004020,현대제철,현대제철,HYUNDAI STEEL COMPANY,KOSPI,소재,5,철강,1987-05-23,12월,37031,13,0,1,16,
00106669,001430,세아베스틸지주,세아베스틸지주,SeAH Besteel Holdings Corporation,KOSPI,소재,5,철강,1991-03-12,12월,12588,13,0,0,5,
00102858,010130,고려아연,고려아연,KOREA ZINC INC,KOSPI,소재,6,비철금속,1990-07-28,12월,224384,18,29,1,50,
00126256,032830,삼성생명,삼성생명,"Samsung Life Insurance co., Ltd",KOSPI,금융,7,금융·보험,2010-05-12,12월,636000,25,0,0,15,
00688996,105560,KB금융,KB금융,KB Financial Group Inc.,KOSPI,금융,7,금융·보험,2008-10-10,12월,608289,25,25,0,9,[기재정정]사업보고서(2025.12) 1건 원본 XML 미제공으로 PDF/HTML 대체 수집
00382199,055550,신한지주,신한지주,"SHINHAN FINANCIAL GROUP CO.,LTD",KOSPI,금융,7,금융·보험,2001-09-10,12월,495539,14,35,0,2,
00547583,086790,하나금융지주,하나금융지주,Hana Financial Group Inc.,KOSPI,금융,7,금융·보험,2005-12-12,12월,363263,18,32,0,22,
00139214,000810,삼성화재해상보험,삼성화재,"SAMSUNG FIRE & MARINE INSURANCE CO.,LTD",KOSPI,금융,7,금융·보험,1975-06-30,12월,287530,21,0,0,5,
01350869,316140,우리금융지주,우리금융지주,Woori Financial Group Inc.,KOSPI,금융,7,금융·보험,2019-02-13,12월,224616,15,33,3,8,
00111722,006800,미래에셋증권,미래에셋증권,"MIRAE ASSET SECURITIES CO.,LTD.",KOSPI,금융,7,금융·보험,1975-09-30,12월,206480,19,8,0,11,
00860332,138040,메리츠금융지주,메리츠금융지주,MERITZ FINANCIAL GROUP INC.,KOSPI,금융,7,금융·보험,2011-05-13,12월,206339,33,18,2,22,
00266961,035420,NAVER,NAVER,NAVER Corporation,KOSPI,커뮤니케이션서비스,8,AI소프트웨어·플랫폼,2008-11-28,12월,325659,13,17,3,5,
00258801,035720,카카오,카카오,Kakao Corp.,KOSPI,커뮤니케이션서비스,8,AI소프트웨어·플랫폼,2017-07-10,12월,160359,24,33,0,7,
00139834,064400,LG씨엔에스,LG씨엔에스,"LG CNS Co., Ltd.",KOSPI,IT,8,AI소프트웨어·플랫폼,2025-02-05,12월,62491,13,2,7,6,
00159023,017670,SK텔레콤,SK텔레콤,"SK TELECOM CO.,LTD",KOSPI,커뮤니케이션서비스,9,통신,1989-11-07,12월,214790,13,14,0,6,
00190321,030200,케이티,KT,KT CORPORATION,KOSPI,커뮤니케이션서비스,9,통신,1998-12-23,12월,136344,14,14,1,26,
00231363,032640,LG유플러스,LG유플러스,LG Uplus Corp,KOSPI,커뮤니케이션서비스,9,통신,2008-04-21,12월,62561,14,2,1,7,
00760971,259960,크래프톤,크래프톤,"KRAFTON, Inc.",KOSPI,커뮤니케이션서비스,10,게임,2021-08-10,12월,111884,14,12,2,43,
00261443,036570,NC,엔씨소프트,NC Corporation,KOSPI,커뮤니케이션서비스,10,게임,2003-05-22,12월,49120,15,6,3,12,
01384787,462870,시프트업,시프트업,SHIFT UP Corporation.,KOSPI,커뮤니케이션서비스,10,게임,2024-07-11,12월,18004,7,4,0,8,
00877059,207940,삼성바이오로직스,삼성바이오로직스,"SAMSUNG BIOLOGICS CO.,LTD.",KOSPI,건강관리,11,바이오·제약,2016-11-10,12월,702697,15,2,97,3,
00413046,068270,셀트리온,셀트리온,"Celltrion, Inc.",KOSPI,건강관리,11,바이오·제약,2018-02-09,12월,413015,13,29,107,51,
00989619,196170,알테오젠,알테오젠,Alteogen Inc.,KOSDAQ,건강관리,11,바이오·제약,2014-12-12,12월,161027,13,1,17,5,
00828497,128940,한미약품,한미약품,"Hanmi Pharm. Co., Ltd.",KOSPI,건강관리,11,바이오·제약,2010-07-30,12월,50219,14,2,17,11,
00970453,214450,파마리서치,파마리서치,"PharmaResearch Co., Ltd.",KOSDAQ,건강관리,11,바이오·제약,2015-07-24,12월,37091,14,4,1,19,
01376715,347850,디앤디파마텍,디앤디파마텍,D&D Pharmatech Inc.,KOSDAQ,건강관리,11,바이오·제약,2024-05-02,12월,27319,8,4,4,16,
01390344,329180,HD현대중공업,HD현대중공업,"HD HYUNDAI HEAVY INDUSTRIES CO.,LTD.",KOSPI,산업재,12,조선,2021-09-17,12월,509587,13,2,61,8,
00111704,042660,한화오션,한화오션,"Hanwha Ocean Co., Ltd.",KOSPI,산업재,12,조선,2001-02-02,12월,269337,18,18,90,24,[기재정정]분기보고서(2024.03) 1건 원본 XML 미제공으로 PDF/HTML 대체 수집
00126478,010140,삼성중공업,삼성중공업,"SAMSUNG HEAVY INDUSTRIES CO.,LTD",KOSPI,산업재,12,조선,1994-01-28,12월,201520,16,0,75,9,
00159616,034020,두산에너빌리티,두산에너빌리티,"DOOSAN ENERBILITY CO., LTD.",KOSPI,산업재,13,원전,2000-10-25,12월,461845,16,8,24,16,
00159209,052690,한전기술,한전기술,"KEPCO Engineering & Construction Company, Inc",KOSPI,산업재,13,원전,2009-12-14,12월,37876,15,2,42,9,
00231044,032820,우리기술,우리기술,"Woori Technology, Incorporation",KOSDAQ,산업재,13,원전,2000-06-22,12월,17195,13,9,18,7,
00126566,012450,한화에어로스페이스,한화에어로스페이스,"HANWHA AEROSPACE CO., LTD.",KOSPI,산업재,14,방산·항공우주,1987-05-27,12월,504806,14,15,50,19,2026.1Q 분기보고서 1건 원본 XML 미제공으로 PDF/HTML 대체 수집
00302926,064350,현대로템,현대로템,Hyundai-Rotem Co.,KOSPI,산업재,14,방산·항공우주,2013-10-30,12월,172881,14,0,70,10,
00503668,079550,LIG디펜스앤에어로스페이스,LIG넥스원,"LIG Defense&Aerospace Co., Ltd.",KOSPI,산업재,14,방산·항공우주,2015-10-02,12월,167640,14,1,71,30,구 LIG넥스원(2026-04 사명 변경)
00309503,047810,한국항공우주,한국항공우주,"KOREA AEROSPACE INDUSTRIES, LTD.",KOSPI,산업재,14,방산·항공우주,2011-06-30,12월,154108,14,1,55,30,
00583424,090430,아모레퍼시픽,아모레퍼시픽,AMOREPACIFIC CORP.,KOSPI,필수소비재,15,소비재·유통,2006-06-29,12월,69021,13,19,1,17,
00356370,051900,LG생활건강,LG생활건강,"LG H&H Co., Ltd.",KOSPI,필수소비재,15,소비재·유통,2001-04-25,12월,37214,13,1,0,11,
00635134,097950,CJ제일제당,CJ제일제당,CJ CHEILJEDANG CORP.,KOSPI,필수소비재,15,소비재·유통,2007-09-28,12월,29220,14,0,0,7,
00872984,139480,이마트,이마트,E-MART Inc.,KOSPI,필수소비재,15,소비재·유통,2011-06-10,12월,22711,13,16,3,13,
00164478,000720,현대건설,현대건설,"HYUNDAI ENGINEERING & CONSTRUCTION CO.,LTD",KOSPI,산업재,16,건설,1984-12-22,12월,118260,16,0,113,6,
00126308,028050,삼성E&A,삼성E&A,"SAMSUNG E&A CO.,LTD",KOSPI,산업재,16,건설,1996-12-24,12월,93296,16,0,110,15,
00124540,047040,대우건설,대우건설,"DAEWOO ENGINEERING & CONSTRUCTION CO.,LTD",KOSPI,산업재,16,건설,2001-03-23,12월,62869,15,1,133,1,
00164645,011200,HMM,HMM,"HMM CO.,LTD",KOSPI,산업재,17,운송·물류,1995-10-05,12월,204211,15,1,14,20,
00360595,086280,현대글로비스,현대글로비스,"HYUNDAI GLOVIS Co., LTD.",KOSPI,산업재,17,운송·물류,2005-12-26,12월,155250,15,1,9,15,
00105855,010120,엘에스일렉트릭,LS ELECTRIC,"LS ELECTRIC CO., LTD",KOSPI,산업재,18,전력기기,1994-07-11,12월,303000,14,6,24,13,
01205851,267260,HD현대일렉트릭,HD현대일렉트릭,"HD HYUNDAI ELECTRIC CO.,LTD",KOSPI,산업재,18,전력기기,2017-05-10,12월,291982,14,0,26,8,
01316245,298040,효성중공업,효성중공업,Hyosung Heavy Industries Corporation,KOSPI,산업재,18,전력기기,2018-07-13,12월,249991,18,0,38,16,
00162461,009830,한화솔루션,한화솔루션,HANWHA SOLUTIONS CORPORATION,KOSPI,소재,19,신재생에너지,1974-06-19,12월,51568,17,9,4,27,
00148896,010060,OCI홀딩스,OCI홀딩스,OCI Holdings Company Ltd.,KOSPI,소재,19,신재생에너지,1985-07-09,12월,46676,15,14,14,16,
01412725,336260,두산퓨얼셀,두산퓨얼셀,"Doosan Fuel Cell Co., Ltd.",KOSPI,산업재,19,신재생에너지,2019-10-18,12월,28031,13,2,83,5,
01204056,352820,하이브,하이브,"HYBE Co., Ltd.",KOSPI,커뮤니케이션서비스,20,엔터테인먼트,2020-10-15,12월,91386,18,14,1,21,
00260930,041510,에스엠,에스엠,"SM ENTERTAINMENT CO., Ltd.",KOSDAQ,커뮤니케이션서비스,20,엔터테인먼트,2000-04-27,12월,15980,16,10,0,16,
00258689,035900,JYP Ent,JYP Ent,JYP Entertainment Corporation,KOSDAQ,커뮤니케이션서비스,20,엔터테인먼트,2001-08-30,12월,15936,13,3,1,9,"raw/ 폴더명 'JYP Ent'(끝 마침표 제거, Windows 제약)"
00613318,122870,와이지엔터테인먼트,와이지엔터테인먼트,YG Entertainment Inc.,KOSDAQ,커뮤니케이션서비스,20,엔터테인먼트,2011-11-23,12월,7439,15,0,1,33,
